featureid	Intercept	disease[T.IBS]	disease[T.UC]	gender[T.M]	donor_id_manual[T.DONOR2_T2_B2]	donor_id_manual[T.DONOR3_T1_B1]	donor_id_manual[T.DONOR3_T2_B2]	donor_id_manual[T.DONOR3_T3_B6]	donor_id_manual[T.DONOR7_T1_B8]	donor_id_manual[T.DONOR7_T2_B8]	donor_id_manual[T.SFM028_T1_B1]	donor_id_manual[T.SPORT17_T1_B3]	donor_id_manual[T.SPORT4_T1_B8]	donor_source[T.DONOR3]	donor_source[T.DONOR7]	donor_source[T.SFM028]	donor_source[T.SPORT17]	donor_source[T.SPORT4]	donor_gender[T.M]	status[T.BEFORE]	age	donor_age
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
PBP2	1.23265732982411	0.503924405058989	1.45582625968606	1.15044821530151	-2.87601379434077	1.85862475576309	-2.19092878441398	-0.869312935007306	-0.647138505027844	-1.91902885385431	0.839425922156527	-1.15643994395549	-1.05071226349817	1.25392199347082	-1.44782723900146	0.837496355605813	-0.610629247214932	-0.983153740947063	2.30355107744869	0.447810696581235	0.130930619314313	-0.309976451833231
MDTP	-0.54585791966663	-1.65884524039351	1.66917178733498	0.258407604988091	-1.5511546520373	3.02349835576919	-2.42798647026603	-0.896099262369367	0.0754559945601683	-1.69049129434503	0.751744509459688	-1.58980576579387	-1.67838398209558	-0.268610089623298	-1.4313529920227	0.750359133315774	-0.871214793708462	-1.61082379061442	0.352613806330527	0.499169992426267	0.13869615085423	-0.16078554912327
MSBA	0.538281278398175	-1.5495729988011	1.66595885856301	0.710683954055779	-1.08824733773676	3.91685086431412	-1.71011575798576	-0.479854755533429	0.197400779678271	-1.5681098455993	0.46452444863434	-1.50604836528118	-1.51623646012292	-0.561607099675502	-1.62471522804565	0.542544320655557	-1.31892864563717	-1.44867865282756	0.622238516413535	0.660991357782712	0.134047405794263	-0.227177732427103
YOGI	-2.97442687890277	-2.35977392844283	1.13855645759255	-0.289752590362556	-0.975331583418525	3.67866879644302	-1.11405119041984	-0.196573786867353	0.684660286857532	-1.6933871264068	1.20917165351029	-0.312602682755544	-1.38027993432031	-1.14765947272715	-0.670649428332511	1.18231470925877	-0.970654176261562	-1.31272141176921	0.150005220972861	0.549714731195798	0.112070010975003	-0.0081241063666172
CATA	0.407796935823101	2.19585496731676	0.626059747768942	-2.2690743085785	-2.1918549923083	-2.55533498582932	1.6653023089927	-0.672923975122663	2.0806624602813	0.471553230801454	2.28063106608505	0.690868572546885	2.18923709699168	0.963065751290952	2.39896271709138	2.18502529008457	0.128940893623692	2.66199900668401	-0.172755241788064	-1.09330218829788	-0.0714977812021971	0.102057702105062
EMRD	1.12200151541485	-1.54838019064986	1.68948552711159	-0.652395534221656	-2.52079586068598	3.42017728032974	-1.64717659096305	0.121190256940631	-1.33104100708778	-1.01860985704339	1.08512604308243	-1.1795419890147	-1.60336915245996	0.0754922110802279	-3.49228133674926	1.19050319535801	-0.718169377830166	-1.53581897455912	1.58142483195003	0.609839962938657	0.149464445188642	-0.26831101699589
DFRF	-1.10571850678669	2.03333193608201	-4.66342451469749	0.640815627868645	4.98857351263555	-5.86203670559021	3.68989363570626	0.768193073140887	-0.897808938072278	5.44984712652289	-1.71518564152603	2.5277835142154	2.38787227281584	1.0126885254151	4.1300130892151	-1.64689890997341	2.68436175427185	3.21297522347707	-3.0097846392757	-0.234527183553347	-0.277515346184373	0.430570825200098
MDTE	-0.989526165935856	-1.56256585768782	1.59568545920998	0.817352664764397	-1.13890794793574	4.16106778325943	-1.52563199142997	-0.326215677393171	-0.386995463417127	-1.87758216806329	1.29491663050766	-1.55187050883587	-0.996245300683838	0.170044787622129	-0.874632735217276	1.02461405141422	-0.0337065921093407	-0.928686778132732	1.64355599840816	0.403682278612485	0.131627159193158	-0.203570716817362
ACRA	0.232060657527584	-1.00252025775038	1.0485820542112	0.832444799240105	-0.86541918794123	3.0112569922438	-1.54228123764579	-0.454075746668073	-0.367006688163831	-1.37034330316461	0.452425361396028	-0.447201891587331	-1.16464654198633	-0.123943648838366	-1.03779687401122	0.48782952172825	-1.53306381562008	-1.09708801943522	1.0061010118359	0.178380774477353	0.110607462003827	-0.196400158841593
AMPH	-1.32028807542072	-1.07264345339858	1.11604974372536	0.525198829467767	-1.10151676217524	2.2403886908522	-2.02716526131217	-0.775788240564557	0.109224767639087	-1.13461027093805	0.407617033244326	-2.73593632762249	-1.51335231057153	-0.791020951771106	-0.736927647555533	0.521432295871469	0.146177603218418	-1.44579378802043	-0.335272312558328	0.100186871507993	0.11444585211575	-0.0876194171500034
